Episode,Reward,Actor Loss,Critic Loss
1,-1001.9487013585011,0.012636113799526356,14.760231609344482
2,-1543.2473328963047,0.5344596762210131,54.353759899139405
3,-1562.4302658100441,2.258332486152649,58.48976661682129
4,-1547.2926719958307,6.394751033782959,61.81944965362549
5,-1374.8810588026597,10.79184383392334,57.33318702697754
6,-1581.4779749363386,16.643952898979187,55.080912551879884
7,-1485.722826655382,25.85104058265686,57.4790904045105
8,-1674.4174879354382,34.51328854560852,51.52426797866821
9,-1693.4275333458245,40.56408451080322,52.275612106323244
10,-1558.4140169861573,47.48067012786865,58.56891466140747
11,-1862.2195769991947,54.27282249450683,65.33319864273071
12,-1586.8689112444424,62.13644577026367,73.40044464111328
13,-1511.8157947119125,69.47087560653686,80.1974342918396
14,-1533.587589337652,78.6986124420166,101.51248592376709
15,-1744.9838020105797,88.3019312286377,107.0236974143982
16,-1882.2312214301385,98.94607383728027,123.32461313247681
17,-1760.635739267118,110.17397212982178,153.52652103424072
18,-1852.0009014202528,123.70934326171874,185.45554328918456
19,-1694.3471553578675,138.5058731842041,215.87916248321534
20,-1895.3813112432867,155.99492988586425,249.1225100708008
21,-1620.0858631580745,174.9084162902832,288.433348197937
22,-1543.8433117702411,193.9902806854248,350.4653231048584
23,-1681.1912413231157,215.4079495239258,354.2979225158691
24,-1711.7631794202978,236.90026397705077,487.6972827529907
25,-1435.1748973877277,257.3188162994385,514.1862161254883
26,-1316.3199406091785,276.07814285278323,571.3682870864868
27,-1342.3141838809313,294.0533953857422,643.1466751861573
28,-1228.7093831645052,311.5743667602539,673.0962769317626
29,-1382.5190075586183,326.7353889465332,853.0419638061524
30,-1299.7409089862063,340.2862724304199,901.3910918426513
31,-1297.5633038195676,350.4499885559082,966.6129194641113
32,-1230.373027069619,358.4240000915527,992.2702627563476
33,-1254.187467236035,362.2336729431152,992.6682046508789
34,-1559.653380201649,363.1150285339356,1024.3598809051514
35,-1389.366768918749,367.3547270202637,1054.1631803894043
36,-1292.0216660760768,369.8810144042969,1120.7115615081786
37,-1339.3904269517557,370.4831921386719,1083.0995894622802
38,-1269.157980145018,370.7335751342773,944.1063468170166
